Heading	Description	EventCatId	LogEvent	DisplayEvent	EventType	OverrideAlarm	Priority	RestoreEventCode	SendResetToPanel	ReponseRequired	Required2ndResponse	EventCode	EventClass	Auditting	UpdateStatus	StatusOptions	MobileNotification	EventColor	ChallengerCos	ChEvent	ChSubEvent	oPoint	sPoint	oUser	sUser	oJob	sJob	oFloor	sFloor	oRegion	sRegion				PageOnEvent	PageOnAck	PageOnRemoval
Line Activity Event Category										0																											
	Modem - dial in call	1	1	1	0	0	80	0	0	0	0	200	41	0	0	0	0		9	c8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Modem - dial for service	1	1	1	0	0	80	0	0	0	0	201	41	0	0	0	0		9	c9	0	0	0	404	2	0	0	0	0	0	0	0	0	0	0	0	0
	Modem - dial back triggered	1	1	1	0	0	80	0	0	0	0	202	41	0	0	0	0		9	ca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Line down	1	1	1	1	0	50	277	0	1	0	276	41	0	0	1	0	EF1111	9	ff	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Line up	1	1	1	2	0	50	0	0	0	0	277	41	0	0	0	0		9	ff	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Comms - network down	1	1	1	1	0	50	0	0	1	0	278	41	0	0	0	0	EF1111	9	ff	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Modem - line fault monitor fail	1	1	1	1	0	50	289	0	1	0	288	41	0	0	1	0	EF1111	9	ff	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Modem - line fault monitor restored	1	1	1	2	0	50	0	0	0	0	289	41	0	0	0	0		9	ff	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Modem - remote dial-in	1	1	1	0	0	50		0	0	0	290	1	0	0	1	0		9	ff	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Computer connected	1	1	1	0	0	50	0	0	0	0	291	1	0	0	0	0		0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0
	Comms - direct connect (J15)	1	1	1	0	0	50	293	0	0	0	292	1	0	0	1	0		9	ff	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Activated remote direct disconnect	1	1	1	2	0	50	0	0	0	0	293	1	0	0	0	0		9	ff	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Special Event Category					0					0																											
	Guard has not responded	1	1	1	1	0	10	0	0	1	0	261	41	0	0	0	0	EF1111	10	ff	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Access test started	1	1	1	0	0	80	265	0	0	0	264	41	0	0	1	0		10	ff	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
